Year,Strata,Strata Name,County,Total Admits (ICD-9),30-day Readmits (ICD-9) ,30-day Readmission Rate (ICD-9),Total Admits (ICD-10),30-day Readmits (ICD-10) ,30-day Readmission Rate (ICD-10)
2012,Overall,Overall,Colusa,1125,179,15.90%,,,
2012,Overall,Overall,Contra Costa,55974,7733,13.80%,,,
2012,Overall,Overall,Del Norte,1411,168,11.90%,,,
2012,Overall,Overall,El Dorado,9993,1350,13.50%,,,
2012,Overall,Overall,Fresno,48216,6769,14%,,,
2012,Overall,Overall,Glenn,1772,245,13.80%,,,
2012,Overall,Overall,Humboldt,7180,743,10.30%,,,
2012,Overall,Overall,Imperial,8957,1339,14.90%,,,
2012,Overall,Overall,Inyo,787,61,7.80%,,,
2012,Overall,Overall,Kern,43650,5926,13.60%,,,
2012,Overall,Overall,Kings,6903,911,13.20%,,,
2012,Overall,Overall,Lake,5559,800,14.40%,,,
2012,Overall,Overall,Lassen,1081,138,12.80%,,,
2012,Overall,Overall,Los Angeles,517164,79235,15.30%,,,
2012,Overall,Overall,Madera,6823,806,11.80%,,,
2012,Overall,Overall,Marin,11917,1354,11.40%,,,
2012,Overall,Overall,Mariposa,1097,111,10.10%,,,
2012,Overall,Overall,Mendocino,5333,648,12.20%,,,
2012,Overall,Overall,Merced,11481,1635,14.20%,,,
2012,Overall,Overall,Modoc,413,46,11.10%,,,
2012,Overall,Overall,Mono,248,23,9.30%,,,
2012,Overall,Overall,Monterey,17916,1916,10.70%,,,
2012,Overall,Overall,Napa,8202,1153,14.10%,,,
2012,Overall,Overall,Nevada,5879,717,12.20%,,,
2012,Overall,Overall,Orange,137256,18165,13.20%,,,
2012,Overall,Overall,Placer,18788,2238,11.90%,,,
2012,Overall,Overall,Plumas,870,100,11.50%,,,
2012,Overall,Overall,Riverside,110558,14965,13.50%,,,
2012,Overall,Overall,Sacramento,74683,10124,13.60%,,,
2012,Overall,Overall,San Benito,2595,314,12.10%,,,
2012,Overall,Overall,San Bernardino,104267,14826,14.20%,,,
2012,Overall,Overall,San Diego,154878,20519,13.20%,,,
2012,Overall,Overall,San Francisco,39423,5738,14.60%,,,
2012,Overall,Overall,San Joaquin,34783,4833,13.90%,,,
2012,Overall,Overall,San Luis Obispo,13129,1416,10.80%,,,
2012,Overall,Overall,San Mateo,29701,3652,12.30%,,,
2012,Overall,Overall,Santa Barbara,18375,1956,10.60%,,,
2012,Overall,Overall,Santa Clara,67166,8898,13.20%,,,
2012,Overall,Overall,Santa Cruz,11000,1236,11.20%,,,
2012,Overall,Overall,Shasta,13926,1615,11.60%,,,
2012,Overall,Overall,Sierra,127,18,14.20%,,,
2012,Overall,Overall,Siskiyou,2351,189,8%,,,
2012,Overall,Overall,Solano,20450,2812,13.80%,,,
2012,Overall,Overall,Sonoma,22853,2637,11.50%,,,
2012,Overall,Overall,Stanislaus,30191,4083,13.50%,,,
2012,Overall,Overall,Sutter,6078,766,12.60%,,,
2012,Overall,Overall,Tehama,3494,458,13.10%,,,
2012,Overall,Overall,Trinity,945,124,13.10%,,,
2012,Overall,Overall,Tulare,22013,2974,13.50%,,,
2012,Overall,Overall,Tuolumne,4012,503,12.50%,,,
2012,Overall,Overall,Ventura,40670,4831,11.90%,,,
2012,Overall,Overall,Yolo,7462,945,12.70%,,,
2012,Overall,Overall,Yuba,4898,685,14%,,,
2012,Race-Ethnicity,White,State,1086174,143344,13.20%,,,
2012,Race-Ethnicity,Other/Unknown,State,59302,7577,12.80%,,,
2012,Race-Ethnicity,Native American,State,5727,818,14.30%,,,
2012,Race-Ethnicity,Hispanic,State,426051,59594,14%,,,
2012,Race-Ethnicity,Asian/Pacific Islander,State,144598,19494,13.50%,,,
2012,Race-Ethnicity,African-American,State,184109,32604,17.70%,,,
2012,Sex,Male,State,892006,129377,14.50%,,,
2012,Sex,Female,State,1013955,134054,13.20%,,,
2013,Age,65 years and above,State,935438,133382,14.30%,,,
2013,Age,45 to 64 years,State,624032,85059,13.60%,,,
2013,Age,18 to 44 years,State,301875,35056,11.60%,,,
2013,Expected Payer,Self-Pay,State,64227,5148,8%,,,
2013,Expected Payer,Private,State,432777,41667,9.60%,,,
2013,Expected Payer,Other,State,119093,12461,10.50%,,,
2013,Expected Payer,MediCare,State,996331,150578,15.10%,,,
2013,Expected Payer,Medi-Cal,State,248917,43643,17.50%,,,
2013,Overall,Overall,State,1861345,253497,13.60%,,,
2013,Overall,Overall,Alameda,67673,9761,14.40%,,,
2013,Overall,Overall,Alpine,9,0,0%,,,
2013,Overall,Overall,Amador,2616,357,13.60%,,,
2013,Overall,Overall,Butte,21019,3383,16.10%,,,
2013,Overall,Overall,Calaveras,3160,418,13.20%,,,
2013,Overall,Overall,Colusa,1054,128,12.10%,,,
2013,Overall,Overall,Contra Costa,54166,7369,13.60%,,,
2013,Overall,Overall,Del Norte,1424,193,13.60%,,,
2013,Overall,Overall,El Dorado,9982,1288,12.90%,,,
2013,Overall,Overall,Fresno,48385,6770,14%,,,
2013,Overall,Overall,Glenn,1695,238,14%,,,
2013,Overall,Overall,Humboldt,7185,754,10.50%,,,
2013,Overall,Overall,Imperial,8325,1189,14.30%,,,
2013,Overall,Overall,Inyo,722,34,4.70%,,,
2013,Overall,Overall,Kern,41048,5473,13.30%,,,
2013,Overall,Overall,Kings,6558,922,14.10%,,,
2013,Overall,Overall,Lake,5456,802,14.70%,,,
